EVENT_ID;TICKET_ID;SECTOR_ID;SEAT_ID;sector_left;sector_righ;
85;1472553;303;129998;304;302;
85;1474886;303;129999;304;302;
85;1472552;303;130000;304;302;
85;1467088;303;130001;304;302;
85;1481315;303;130002;304;302;
85;1481811;303;130003;304;302;
85;1477805;303;130004;304;302;
85;1479307;303;130005;304;302;
85;1480307;303;130006;304;302;
85;1468359;303;130007;304;302;
85;1465210;303;130008;304;302;
85;1473512;303;130009;304;302;
85;1471919;303;130010;304;302;
85;1468721;303;130011;304;302;
85;1468720;303;130012;304;302;
85;1464020;303;130013;304;302;
85;1460057;303;130014;304;302;
85;1465209;303;130015;304;302;
85;1468358;303;130016;304;302;
85;1471918;303;130017;304;302;
85;1473511;303;130018;304;302;
85;1480306;303;130019;304;302;
85;1481810;303;130020;304;302;
85;1471913;303;130021;304;302;
85;1479306;303;130022;304;302;
85;1481314;303;130023;304;302;
85;1471917;303;130024;304;302;
85;1481313;303;130025;304;302;
85;1467087;303;130026;304;302;
85;1472551;303;130027;304;302;
85;1460056;303;130028;304;302;
85;1468719;303;130029;304;302;
85;1467636;303;130030;304;302;
85;1478950;303;130031;304;302;
85;1481312;303;130032;304;302;
85;1465208;303;130033;304;302;
85;1472550;303;130034;304;302;
85;1474885;303;130035;304;302;
85;1471912;303;130036;304;302;
85;1481809;303;130037;304;302;
85;1477804;303;130038;304;302;
85;1479305;303;130039;304;302;
85;1467086;303;130040;304;302;
85;1449569;303;130041;304;302;
85;1474884;303;130042;304;302;
85;1473510;303;130043;304;302;
85;1467635;303;130044;304;302;
85;1478949;303;130045;304;302;
85;1478948;303;130046;304;302;
85;1467634;303;130047;304;302;
85;1460750;303;130048;304;302;
85;1474883;303;130049;304;302;
85;1449568;303;130050;304;302;
85;1467085;303;130051;304;302;
85;1473509;303;130052;304;302;
85;1477803;303;130053;304;302;
85;1481808;303;130054;304;302;
85;1471911;303;130055;304;302;
85;1479304;303;130056;304;302;
85;1454640;303;130057;304;302;
85;1464019;303;130058;304;302;
85;1481311;303;130059;304;302;
85;1471916;303;130060;304;302;
85;1460749;303;130061;304;302;
85;1468718;303;130062;304;302;
85;1460055;303;130063;304;302;
85;1460054;303;130064;304;302;
85;1467084;303;130065;304;302;
85;1481310;303;130066;304;302;
85;1471915;303;130067;304;302;
85;1460739;303;130068;304;302;
85;1479303;303;130069;304;302;
85;1471910;303;130070;304;302;
85;1470955;303;130071;304;302;
85;1470957;303;130072;304;302;
85;1479302;303;130073;304;302;
85;1471914;303;130074;304;302;
85;1449567;303;130075;304;302;
85;1464018;303;130076;304;302;
85;1473508;303;130077;304;302;
85;1460053;303;130078;304;302;
85;1458107;303;130079;304;302;
85;1458106;303;130080;304;302;
85;1478441;303;130081;304;302;
85;1463291;303;130082;304;302;
85;1464017;303;130083;304;302;
85;1449566;303;130084;304;302;
85;1448358;304;130085;305;303;
85;1435234;304;130086;305;303;
85;1475749;304;130087;305;303;
85;1473805;304;130088;305;303;
85;1475748;304;130089;305;303;
85;1468662;304;130090;305;303;
85;1454094;304;130091;305;303;
85;1447851;304;130092;305;303;
85;1454093;304;130093;305;303;
85;1468661;304;130094;305;303;
85;1480774;304;130095;305;303;
85;1480773;304;130096;305;303;
85;1458895;304;130097;305;303;
85;1467752;304;130098;305;303;
85;1446362;304;130099;305;303;
85;1454092;304;130100;305;303;
85;1471743;304;130101;305;303;
85;1467727;304;130102;305;303;
85;1434760;304;130103;305;303;
85;1475747;304;130104;305;303;
85;1471767;304;130105;305;303;
85;1473830;304;130106;305;303;
85;1470694;304;130107;305;303;
85;1468660;304;130108;305;303;
85;1449611;304;130109;305;303;
85;1421997;304;130110;305;303;
85;1467751;304;130111;305;303;
85;1467750;304;130112;305;303;
85;1461982;304;130113;305;303;
85;1461981;304;130114;305;303;
